dept,word,count
SPD,accessory,150
SPD,chamber,150
SPD,modify,150
SPD,sustain,150
SPD,offender,150
SPD,post,149
SPD,residential,149
SPD,williams,149
SPD,book,149
SPD,amend,148
SPD,reader,148
SPD,count,148
SPD,associated,148
SPD,custody,148
SPD,anderson,147
SPD,several,147
SPD,race,147
SPD,retention,147
SPD,contribute,146
SPD,tina,146
SPD,formal,146
SPD,gary,146
SPD,next,146
SPD,choose,145
SPD,spend,145
SPD,strong,145
SPD,backup,145
SPD,waive,145
SPD,color,145
SPD,commit,145
SPD,fund,144
SPD,main,144
SPD,background,144
SPD,podlodowski,144
SPD,dataset,144
SPD,shoreline,144
SPD,transparency,144
SPD,thi,144
SPD,employer,143
SPD,suite,143
SPD,determination,143
SPD,pacific,142
SPD,mike,142
SPD,herbold,142
SPD,injure,142
SPD,transit,142
SPD,relation,142
SPD,approximately,142
SPD,garcia,141
SPD,simply,141
SPD,resident,140
SPD,yield,140
SPD,certification,140
SPD,server,140
SPD,lisa,140
SPD,robbery,140
SPD,live,139
SPD,pick,139
SPD,guild,139
SPD,signal,139
SPD,laptop,139
SPD,cobain,138
SPD,online,138
SPD,complain,138
SPD,budget,138
SPD,transfer,138
SPD,wonder,138
SPD,defendant,138
SPD,provider,138
SPD,clearly,138
SPD,substitute,138
SPD,exploitation,137
SPD,hourly,137
SPD,whose,137
SPD,lyles,137
SPD,earlier,136
SPD,phase,136
SPD,example,135
SPD,westlake,135
SPD,corner,135
SPD,burglary,135
SPD,finding,135
SPD,seward,135
SPD,brother,135
SPD,tyler,134
SPD,scream,134
SPD,precede,134
SPD,consultant,133
SPD,supplement,133
SPD,taser,133
SPD,failsafe,132
SPD,course,132
SPD,minority,132
SPD,employment,132
SPD,user,132
SPD,jacob,132
SPD,appear,132
SPD,energy,132
SPD,burke,131
SPD,photos,131
SPD,implementation,131
SPD,animal,131
SPD,risk,131
SPD,alternative,131
SPD,different,131
SPD,firm,131
SPD,facility,131
SPD,instead,131
SPD,offer,130
SPD,muckrock,130
SPD,dispute,130
SPD,automate,130
SPD,avoid,130
SPD,elliott,130
SPD,maciejewski,129
SPD,former,129
SPD,narrow,129
SPD,exchange,129
SPD,peck,129
SPD,adjacent,129
SPD,adam,129
SPD,discharge,129
SPD,guidance,128
SPD,rape,128
SPD,age,128
SPD,rachel,128
SPD,authorize,128
SPD,transport,127
SPD,sally,127
SPD,nissen,127
SPD,link,127
SPD,collate,127
SPD,environment,127
SPD,protect,126
SPD,stewart,126
SPD,joseph,126
SPD,become,126
SPD,hallman,126
SPD,abuse,125
SPD,bruce,125
SPD,crash,125
SPD,eduardo,125
SPD,forth,125
SPD,administration,125
SPD,native,124
SPD,distribute,124
SPD,southbound,124
SPD,minimum,124
SPD,miller,124
SPD,refuse,123
SPD,power,123
SPD,applicant,123
SPD,instruction,123
SPD,michelle,123
SPD,pothole,123
SPD,visual,123
SPD,command,123
SPD,nursing,123
SPD,mile,122
SPD,improvement,122
